"key","message","comment","context"
"Camera Data","Данные камеры",,
"Camera Data Form","Форма ввода данных камеры",,
"Camera Index Code","Код индекса камеры",,
"Camera List","Список камер",,
"Contact","Контакт",,
"Country","Страна",,
"Cross Record System Code","Код системы перекрестных записей",,
"Cross Time","Перекрестное время",,
"Owner Name","Имя владельца",,
"Region Name","Регион",,
"Russian","Русский",,
"Vehicle Color","Цвет транспортного средства",,
"Vehicle Direction Type","Тип направления движения транспортного средства",,
"Vehicle Pic Path","Путь к изображению транспортного средства",,
"Vehicle Type","Тип  транспортного средства",,
"VehiclePicUri","URI изображения транспортного средства",,
"com.axelor.apps.camera.job.CameraJob",,,
"getData","Получить данные",,
"plateNo","Номер транспортного средства",,
"type camera data","Введите данные камеры",,
