"key";"message";"language"
"Created on";"Дата создания";"ru"
"Created by";"ФИО оператора";"ru"
"Error";"Ошибка";"ru"
"Information";"Информация";"ru"
"Question";"Вопрос";"ru"
"Current changes will be lost. Do you really want to proceed?";"Текущие изменения будут потеряны. Вы действительно хотите продолжить?";"ru"
"Cancel";"Отмена";"ru"
"Alpha-3 code (ISO)";"Альфа-3";"ru"
"Alpha-2 code (ISO)";"Альфа-2";"ru"
"Numeric code (ISO)";"Код";"ru"
"Updated by";"Обновлено";"ru"
"Updated on";"Обновлено на";"ru"
"{0} of {1}";"{0} из {1}";"ru"
"{0} records exported.";"{0} экспортированные записи.";"ru"
"{0} task";"{0} задача";"ru"
"{0} tasks";"{0} задачи";"ru"
"{0} to {1} of {2}";"от {0} до {1} из {2}";"ru"
"Current password";"Текущий пароль";"ru"
"Please change your password.";"Пожалуйста, измените свой пароль.";"ru"
"Confirm new password";"Подтвердите новый пароль";"ru"
"user.password.pattern-title";"Требования к паролю";"ru"
"Specify whether to block the user for an indefinite period.";"Указание на блокировку пользователя на неопределенный срок.";"ru"
"Force the user to change their password at next login.";"Заставить пользователя изменить свой пароль при следующем входе в систему.";"ru"
"Block the user";"Заблокировать пользователя";"ru"
"Force password change";"Принудительная смена пароля";"ru"
"Visible";"Видимо";"ru"
"Hidden";"Скрыть";"ru"
"Collapse";"Свернуть";"ru"
"Sort Ascending";"Сортировать по возрастанию";"ru"
"Sort Descending";"Сортировать по убыванию";"ru"
"Group by";"Группа по";"ru"
"Ungroup";"Разгруппировать";"ru"
"Hide";"Скрывать";"ru"
"Downloading";"Загрузка";"ru"
"Access error";"Ошибка доступа";"ru"
"You are not authorized to read this resource.";"Вы не авторизованы для чтения этого ресурса.";"ru"
"load more";"загрузить больше";"ru"
"The record has been updated or delete by another action.";"Запись была обновлена или удалена";"ru"
"Mark as unread";"Отметить как непрочитанное";"ru"
"Move to archive";"Переместить в архив";"ru"
"Password must have at least 8 characters with at least three of these four types: lowercase, uppercase, digit, special.";"Пароль должен содержать не менее 8 символов и иметь как минимум три из четырех типов: строчные, прописные, цифры.";"ru"
"Do you really want to archive the selected record(s)?";"Вы действительно хотите заархивировать выбранные записи?";"ru"
"Do you really want to delete the selected record?";"Вы действительно хотите удалить выбранную запись?";"ru"
"Duplicate";"Дублировать";"ru"
"Last modified...";"Последнее изменение...";"ru"
"an hour";"час";"ru"
"Record created";"Запись создана";"ru"
"Record updated";"Запись обновлена";"ru"
"Do you really want to archive the selected record?";"Вы действительно хотите архивировать выбранную запись?";"ru"
"%s ago";"%s назад";"ru"
"%d minutes";"%d минут";"ru"
"%d days";"%d дней";"ru"
"%d hours";"%d часов";"ru"
"%d months";"%d месяцев";"ru"
"%d years";"%d лет";"ru"
"a few seconds";"несколько секунд";"ru"
"a minute";"минуту";"ru"
"a day";"один день";"ru"
"Favorites";"Избранное";"ru"
"Priority";"Приоритет";"ru"
